unique_id,ds,LinearRegression,MLPRegressor,LinearRegression-lo-99,LinearRegression-hi-99,MLPRegressor-lo-99,MLPRegressor-hi-99
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 14:30:00,7240075.351907026,7577458.601677009,4984514.382284156,9495636.321529897,7175486.34054821,7979430.862805808
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 14:45:00,6834705.2374744145,7173516.202626749,4550330.556177285,9119079.918771544,6900144.035193768,7446888.37005973
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 15:00:00,6849398.523389515,7048861.766295878,4641762.818717516,9057034.228061512,6810453.095976641,7287270.436615115
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 15:15:00,7093590.666621139,7413629.094376931,4829396.032677041,9357785.300565237,7046378.0064019365,7780880.182351925
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 15:30:00,7090057.974012292,7482436.868017144,4829281.310292478,9350834.637732105,7196503.532935008,7768370.203099279
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 15:45:00,7134089.717576084,7544408.448025715,5289474.863137898,8978704.57201427,6936386.525553782,8152430.370497648
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 16:00:00,6801018.577717042,7169780.548030772,4607729.570657809,8994307.584776275,6498154.292572916,7841406.803488629
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 16:15:00,6824936.543274326,7131487.968054518,4831443.714412763,8818429.37213589,6754289.248065185,7508686.688043851
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 16:30:00,6760210.5887510255,7201742.651216756,4483721.968815461,9036699.20868659,6522051.366459268,7881433.935974243
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 16:45:00,6675876.296785996,7087421.017961718,4537044.091770325,8814708.501801668,6486723.032543074,7688119.003380362
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 17:00:00,6494820.906059772,6812307.592351727,4233583.251203891,8756058.560915653,6206549.968892622,7418065.215810833
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 17:15:00,6492809.942329216,6802306.968619718,4434164.513548002,8551455.37111043,6254162.508804103,7350451.428435333
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 17:30:00,5923194.565171378,6160648.838554164,3838954.641962029,8007434.488380726,5570115.460796527,6751182.216311802
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 17:45:00,5827240.83811791,6069196.794182542,3562675.035558786,8091806.640677034,5334016.246092781,6804377.342272302
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 18:00:00,5700606.527968233,5883369.0611122465,3539670.3260167427,7861542.729919725,5166056.179500543,6600681.94272395
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 18:15:00,5674484.519592325,5882835.951027713,3631174.7361075906,7717794.30307706,5186642.748383768,6579029.153671658
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 18:30:00,5600321.657821521,5838704.385369502,3430762.3128905515,7769881.002752491,5012220.496424237,6665188.274314767
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 18:45:00,5544860.379321358,5779059.004965654,3481608.029658235,7608112.728984481,4405237.709998611,7152880.299932696
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 19:00:00,5287504.908971421,5441709.3565860735,3361772.81664013,7213237.0013027135,3729041.5923075047,7154377.120864642
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 19:15:00,5291693.596488613,5542953.569525932,3346530.6438923185,7236856.5490849065,3662560.622115635,7423346.516936229
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 19:30:00,5482423.189087372,5631629.494627839,3676277.0389647777,7288569.339209966,3631693.3015605886,7631565.68769509
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 19:45:00,5640596.95715318,5748019.906970366,3925482.336541973,7355711.577764386,3506466.1366075384,7989573.677333193
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 20:00:00,5463720.8924908545,5527215.136118424,3664199.582540933,7263242.202440776,3263078.1861838354,7791352.086053013
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 20:15:00,5309751.973171055,5500679.806290674,3799932.6697863815,6819571.27655573,2726581.6789862257,8274777.933595123
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 20:30:00,5379799.454905857,5424980.8351314515,3609916.2073019342,7149682.70250978,2798877.2262182864,8051084.444044617
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 20:45:00,5429847.037224632,5516710.511159383,3793753.097712897,7065940.976736366,2787794.3784644995,8245626.643854266
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 21:00:00,5250760.331102085,5381699.186176519,3389501.642071528,7112019.020132643,2478805.238313843,8284593.134039195
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 21:15:00,4707625.124818841,4639774.882653491,3293913.515075108,6121336.734562574,1636291.0979073476,7643258.667399634
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 21:30:00,4918356.061198306,4885489.37258223,3301168.785953515,6535543.336443097,1606496.5111570877,8164482.234007372
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 21:45:00,4823138.817365203,4794665.397730773,3184461.540862957,6461816.093867448,1643620.6359332062,7945710.15952834
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 22:00:00,4591937.418057194,4614970.661870167,2965659.8092421726,6218215.026872215,1436338.4840018065,7793602.839738527
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 22:15:00,4341999.155738325,4399642.068428569,2854711.5812878376,5829286.730188812,901891.3134066781,7897392.823450459
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 22:30:00,4533930.163201661,4544131.588689887,2814507.8991244673,6253352.427278854,1531739.2641938752,7556523.913185899
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 22:45:00,4519105.909071915,4656354.874541942,2797807.0550215524,6240404.763122277,1244493.0482867744,8068216.70079711
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 23:00:00,4178256.3726162864,4288797.640534677,2246988.087620043,6109524.65761253,236514.48927557634,8341080.791793777
